N,Triton,Torch (native)
256.000000,356.173905,409.600010
384.000000,409.600010,409.600010
512.000000,431.157914,409.600010
640.000000,445.217381,435.744668
768.000000,455.111110,446.836360
896.000000,462.451619,448.000001
1024.000000,468.114273,455.111095
1152.000000,460.800012,428.651163
1280.000000,465.454542,435.744668
1408.000000,469.333317,421.084113
1536.000000,472.615390,393.215981
1664.000000,471.221231,394.429645
1792.000000,473.917366,379.761589
1920.000000,476.279097,374.634152
2048.000000,478.364979,383.251446
2176.000000,473.687079,464.213311
2304.000000,475.664511,463.698105
2432.000000,477.447840,460.497024
2560.000000,479.064308,455.111104
2688.000000,477.866659,457.531902
2816.000000,479.319135,450.560011
2944.000000,480.653077,446.483400
3072.000000,481.882362,444.814490
3200.000000,478.504674,437.606826
3328.000000,479.711707,432.910551
3456.000000,480.834772,430.319054
3584.000000,481.882367,421.647051
3712.000000,480.906904,418.253508
3840.000000,480.939343,413.737386
3968.000000,480.969693,408.282944
4096.000000,481.882344,414.784823
4224.000000,481.024935,413.357815
4352.000000,481.882372,403.663759
4480.000000,481.073827,394.931130
4608.000000,481.882350,386.010473
4736.000000,481.117442,376.995020
4864.000000,481.882374,369.710210
4992.000000,481.156632,360.595939
5120.000000,481.882355,356.173905
5248.000000,481.191965,345.547322
5376.000000,481.882337,341.333336
5504.000000,481.224053,331.067684
5632.000000,480.597329,327.680002
5760.000000,479.999983,319.999989
5888.000000,480.653077,316.665551
6016.000000,478.885566,308.512831
6144.000000,479.531698,309.618896
6272.000000,479.007172,307.356803
6400.000000,479.625302,303.857562
6528.000000,479.119264,297.149361
6656.000000,479.711707,292.571423
6784.000000,479.222973,288.680843
6912.000000,478.753251,285.767436
7040.000000,479.319150,281.600007
7168.000000,478.864291,279.046238
7296.000000,478.426239,275.320756
7424.000000,478.967748,274.645084
7552.000000,476.654815,270.015641
7680.000000,478.132283,268.884034
7808.000000,477.736116,266.087330
7936.000000,477.353405,266.476396
8064.000000,476.983376,263.045866
8192.000000,476.625457,261.359932
8320.000000,479.711732,264.126986
8448.000000,480.170533,264.258067
8576.000000,478.938920,261.862609
8704.000000,479.394148,261.774448
8832.000000,477.405385,260.963993
8960.000000,477.866644,261.129331
9088.000000,478.315811,259.194285
9216.000000,478.753266,260.063487
9344.000000,476.886761,258.657450
9472.000000,478.837291,259.395795
9600.000000,476.279054,257.502095
9728.000000,476.716674,258.336934
9856.000000,476.422977,256.416249
9984.000000,476.847776,257.651610
10112.000000,476.559654,254.991332
10240.000000,476.279070,257.812743
10368.000000,476.005732,256.792581
10496.000000,477.090905,256.979331
10624.000000,475.479738,255.615038
10752.000000,476.542919,256.000002
10880.000000,475.628424,254.875542
11008.000000,476.021629,255.443070
11136.000000,475.135996,253.992877
11264.000000,476.783073,254.553680
11392.000000,476.528102,252.979870
11520.000000,476.895209,254.234486
11648.000000,476.644491,252.702363
11776.000000,476.399478,253.588152
11904.000000,475.565551,251.936510
12032.000000,475.925840,253.138715
12160.000000,474.536576,251.369504
12288.000000,477.203890,254.179699
12416.000000,474.685766,253.387763
12544.000000,476.166064,253.734504
12672.000000,474.829049,252.965692
